(-0.020000000000000004, 0.19502056599432366, 0.09805);(-0.02000567396983105, 0.1949263421635488, 0.03335265561238039);(-0.021539427866546473, 0.1935735594954059, 0.031163002973613005)
(-0.009999999999999995, 0.19502056599432366, 0.09805);(-0.009955151498948314, 0.194880791121099, 0.03336096362439046);(-0.012189608979190808, 0.19338901823540083, 0.030930261574265205)
(0.0, 0.19502056599432366, 0.09805);(0.00006678070175976889, 0.19496719017922925, 0.033337403843106614);(-0.002017392953788766, 0.1934801715534366, 0.030891637290190746)
(0.010000000000000002, 0.19502056599432366, 0.09805);(0.009972347284790628, 0.1949442778562, 0.033341417954242794);(0.008077720532954275, 0.1933219995674309, 0.030891607337676055)
(0.020000000000000004, 0.19502056599432366, 0.09805);(0.02001670236816762, 0.19497001810531964, 0.033326282058489684);(0.018150711250061246, 0.19263736711086282, 0.03089151855640805)
(0.030000000000000002, 0.19502056599432366, 0.09805);(0.02996975131920268, 0.19496469151164042, 0.033331332174091);(0.028039798650041164, 0.19212113515016077, 0.03089587167839561)
(0.04, 0.19502056599432366, 0.09805);(0.03995819679488684, 0.19494393831644394, 0.0333278478296546);(0.03800834120605039, 0.19236263552006433, 0.031198425671083996)
(0.05, 0.19502056599432366, 0.09805);(0.049984340920064305, 0.19494711762267666, 0.03331467900330312);(0.04778784334003715, 0.19247261311175878, 0.031294807918244585)
(-0.039999999999999994, 0.20502056599432367, 0.09805);(-0.04001332970744599, 0.20487905859749334, 0.0332276956315498);(-0.03809944458215579, 0.20225633414688232, 0.0306785311757915)
(-0.03, 0.20502056599432367, 0.09805);(-0.03000519284014274, 0.20491837737453075, 0.03335433968409679);(-0.031098441485777947, 0.20241855431329053, 0.03020844895500864)
(-0.020000000000000004, 0.20502056599432367, 0.09805);(-0.02003953931511398, 0.20486380123789003, 0.03334943652363423);(-0.021151949162602667, 0.20233152838759444, 0.02985649104538629)
(-0.009999999999999995, 0.20502056599432367, 0.09805);(-0.009945731534941578, 0.20483781299578138, 0.03334913848501918);(-0.01125139468121746, 0.202413424887587, 0.029610917615935622)
