0.010000000000000002, 0.23502056599432367, 0.09805;(0.0008356863248607394, 0.0008356863248607394, 0.0008356863248607394)
0.020000000000000004, 0.23502056599432367, 0.09805;(0.0006920522263273605, 0.0006920522263273605, 0.0006920522263273605)
0.030000000000000002, 0.23502056599432367, 0.09805;(0.0010599307890827511, 0.0010599307890827511, 0.0010599307890827511)
0.04, 0.23502056599432367, 0.09805;(0.0016154015941018372, 0.0016154015941018372, 0.0016154015941018372)
0.05, 0.23502056599432367, 0.09805;(0.0015352344719997343, 0.0015352344719997343, 0.0015352344719997343)
-0.039999999999999994, 0.24502056599432367, 0.09805;(-0.002948131687898925, -0.002948131687898925, -0.002948131687898925)
-0.03, 0.24502056599432367, 0.09805;(0.0016994019319906903, 0.0016994019319906903, 0.0016994019319906903)
-0.020000000000000004, 0.24502056599432367, 0.09805;(0.0006382475860067724, 0.0006382475860067724, 0.0006382475860067724)
-0.009999999999999995, 0.24502056599432367, 0.09805;(0.0009144453240984672, 0.0009144453240984672, 0.0009144453240984672)
0.0, 0.24502056599432367, 0.09805;(0.0006334048195879574, 0.0006334048195879574, 0.0006334048195879574)
0.010000000000000002, 0.24502056599432367, 0.09805;(0.0009393458905952162, 0.0009393458905952162, 0.0009393458905952162)
0.020000000000000004, 0.24502056599432367, 0.09805;(0.0015723369115878416, 0.0015723369115878416, 0.0015723369115878416)
0.030000000000000002, 0.24502056599432367, 0.09805;(0.0012901695355322328, 0.0012901695355322328, 0.0012901695355322328)
0.04, 0.24502056599432367, 0.09805;(0.0017309634002640045, 0.0017309634002640045, 0.0017309634002640045)
0.05, 0.24502056599432367, 0.09805;(0.001764058253925035, 0.001764058253925035, 0.001764058253925035)
-0.039999999999999994, 0.25502056599432366, 0.09805;(-0.0028157716884115794, -0.0028157716884115794, -0.0028157716884115794)
-0.03, 0.25502056599432366, 0.09805;(0.0012326095175195252, 0.0012326095175195252, 0.0012326095175195252)
-0.020000000000000004, 0.25502056599432366, 0.09805;(0.0005180977302270268, 0.0005180977302270268, 0.0005180977302270268)
-0.009999999999999995, 0.25502056599432366, 0.09805;(0.0009817256916563749, 0.0009817256916563749, 0.0009817256916563749)
0.0, 0.25502056599432366, 0.09805;(0.0006995895443969098, 0.0006995895443969098, 0.0006995895443969098)
0.010000000000000002, 0.25502056599432366, 0.09805;(0.0008598374577684764, 0.0008598374577684764, 0.0008598374577684764)
0.020000000000000004, 0.25502056599432366, 0.09805;(0.0013055687253937832, 0.0013055687253937832, 0.0013055687253937832)
0.030000000000000002, 0.25502056599432366, 0.09805;(0.0013383901664744773, 0.0013383901664744773, 0.0013383901664744773)
0.04, 0.25502056599432366, 0.09805;(0.0018723828592701007, 0.0018723828592701007, 0.0018723828592701007)
0.05, 0.25502056599432366, 0.09805;(0.0017004542113948594, 0.0017004542113948594, 0.0017004542113948594)
-0.039999999999999994, 0.26502056599432366, 0.09805;(-0.003137278706370941, -0.003137278706370941, -0.003137278706370941)
-0.03, 0.26502056599432366, 0.09805;(0.0006856741863777346, 0.0006856741863777346, 0.0006856741863777346)
-0.020000000000000004, 0.26502056599432366, 0.09805;(0.00040746391258869005, 0.00040746391258869005, 0.00040746391258869005)
-0.009999999999999995, 0.26502056599432366, 0.09805;(0.0012371783400908158, 0.0012371783400908158, 0.0012371783400908158)
0.0, 0.26502056599432366, 0.09805;(0.0011995261973660812, 0.0011995261973660812, 0.0011995261973660812)
0.010000000000000002, 0.26502056599432366, 0.09805;(0.0009743447346104184, 0.0009743447346104184, 0.0009743447346104184)
0.020000000000000004, 0.26502056599432366, 0.09805;(0.0015572254398104242, 0.0015572254398104242, 0.0015572254398104242)
0.030000000000000002, 0.26502056599432366, 0.09805;(0.0021745900414907073, 0.0021745900414907073, 0.0021745900414907073)
0.04, 0.26502056599432366, 0.09805;(0.0018845682902435869, 0.0018845682902435869, 0.0018845682902435869)
0.05, 0.26502056599432366, 0.09805;(0.00206986242626718, 0.00206986242626718, 0.00206986242626718)
-0.039999999999999994, 0.17502056599432367, 0.10805;(-0.002515287797899964, -0.002515287797899964, -0.002515287797899964)
