-0.03, 0.19502056599432366, 0.09805;(0.05208599969010065, 0.18700477240626112, 0.035397068954712396);(-0.03931363757816052, 0.19050959051447397, 0.02890279234460412)
-0.020000000000000004, 0.19502056599432366, 0.09805;(-0.04227700588297031, 0.19258964613342144, 0.03105344191729048);(-0.02870397051471422, 0.1917517765251131, 0.029749971019553262)
-0.009999999999999995, 0.19502056599432366, 0.09805;(-0.029029354453238263, 0.19594126788227514, 0.03432059082165401);(-0.01852436383864599, 0.19329545070107662, 0.03019460478454737)
0.0, 0.19502056599432366, 0.09805;(-0.018262443178758254, 0.19678360511183662, 0.03510196081730346);(-0.008731132058119415, 0.19400965761480699, 0.031004492437401637)
0.010000000000000002, 0.19502056599432366, 0.09805;(-0.00801597591480495, 0.19692594011397457, 0.03527589089045366);(0.0012857165369412865, 0.19453308373306505, 0.03122701360175123)
0.020000000000000004, 0.19502056599432366, 0.09805;(0.001978967937026929, 0.19703366455891547, 0.03538104827773632);(0.010505875367628655, 0.1944007057137232, 0.031326160412416065)
0.030000000000000002, 0.19502056599432366, 0.09805;(0.011743873306175164, 0.1967421853032673, 0.03505883970167134);(0.02090218216511598, 0.19355901857005625, 0.03132617539287631)
0.04, 0.19502056599432366, 0.09805;(0.02173467916479321, 0.19670732024837703, 0.035092171447874326);(0.030623500740588262, 0.19249769249828474, 0.031204313148674903)
0.05, 0.19502056599432366, 0.09805;(0.03142223377830388, 0.19642637624152987, 0.03480157022846833);(0.04024040626615243, 0.1935906710670222, 0.031874882144398875)
-0.039999999999999994, 0.20502056599432367, 0.09805;(0.04176425623839335, 0.1966909803345652, 0.03506852609811134);(0.05008489463609168, 0.19381691114786892, 0.0323919515026445)
-0.03, 0.20502056599432367, 0.09805;(0.05193083223718006, 0.1968387862829115, 0.03522520023204638);(-0.038892906060681354, 0.20007806292880653, 0.02834250095566962)
-0.020000000000000004, 0.20502056599432367, 0.09805;(-0.04230434841931193, 0.2025074017651116, 0.030997746912347968);(-0.028249276787330257, 0.20084964065841632, 0.02898516490764834)
-0.009999999999999995, 0.20502056599432367, 0.09805;(-0.028887803386876656, 0.20599755641284942, 0.03437088026771104);(-0.019390697286423553, 0.2028873432297213, 0.02963226379160376)
0.0, 0.20502056599432367, 0.09805;(-0.01907828291927558, 0.20582556182687747, 0.034283395468728314);(-0.00915867406150184, 0.20291676464279645, 0.029394782130711367)
