17(-0.020000000000000004, 0.25502056599432366, 0.18805);33,['1.9045894', '-0.84132195', '-1.0200509', '0.2913307', '-0.0007864814', '0.3341261'];0
18(-0.03, 0.25502056599432366, 0.18805);35,['1.9422982', '-0.85179174', '-1.0000535', '0.28166837', '-5.2665207e-05', '0.37136212'];0
19(-0.039999999999999994, 0.25502056599432366, 0.18805);37,['1.9792944', '-0.86673', '-0.97100043', '0.26683778', '0.0006275289', '0.40873453'];0
20(0.05, 0.24502056599432367, 0.18805);39,['1.6309097', '-0.7831675', '-1.1272322', '0.33967766', '-0.00020822899', '0.059472017'];0
21(0.04, 0.24502056599432367, 0.18805);41,['1.6722537', '-0.76597285', '-1.1597558', '0.35455394', '0.00021824542', '0.10101428'];0
22(0.030000000000000002, 0.24502056599432367, 0.18805);43,['1.7139627', '-0.7525251', '-1.1840872', '0.36475736', '-0.0006870265', '0.14391817'];0
23(0.020000000000000004, 0.24502056599432367, 0.18805);45,['1.7554305', '-0.7430025', '-1.2018261', '0.37309584', '-0.0004886583', '0.1841724'];0
24(0.010000000000000002, 0.24502056599432367, 0.18805);47,['1.7965416', '-0.7374008', '-1.2123392', '0.37820897', '0.00067249575', '0.22542405'];0
25(0.0, 0.24502056599432367, 0.18805);49,['1.8377765', '-0.73557764', '-1.2146692', '0.3775932', '-0.00048722606', '0.2669215'];0
26(-0.009999999999999995, 0.24502056599432367, 0.18805);51,['1.8780825', '-0.7373742', '-1.2129488', '0.3792086', '0.0008873633', '0.30769458'];0
27(-0.020000000000000004, 0.24502056599432367, 0.18805);53,['1.9183239', '-0.74280226', '-1.2035544', '0.3759491', '-0.0004956771', '0.3470437'];0
28(-0.03, 0.24502056599432367, 0.18805);55,['1.9575664', '-0.75240004', '-1.1859537', '0.36795735', '-0.00037236052', '0.38693595'];0
29(-0.039999999999999994, 0.24502056599432367, 0.18805);57,['1.9958558', '-0.7659909', '-1.1607867', '0.35623434', '0.0004494895', '0.42409965'];0
30(0.05, 0.23502056599432367, 0.18805);59,['1.6333504', '-0.6918377', '-1.2962784', '0.4190333', '0.0005791174', '0.06246772'];0
31(0.04, 0.23502056599432367, 0.18805);60,['1.6767876', '-0.6753608', '-1.3248174', '0.4291861', '-0.0004066634', '0.1056201'];0
32(0.030000000000000002, 0.23502056599432367, 0.18805);62,['1.7202396', '-0.66249377', '-1.3477138', '0.4388519', '-0.00081063184', '0.1485751'];0
33(0.020000000000000004, 0.23502056599432367, 0.18805);64,['1.7634112', '-0.65334266', '-1.3644611', '0.4468685', '2.1259832e-05', '0.19337523'];0
34(0.010000000000000002, 0.23502056599432367, 0.18805);66,['1.806631', '-0.6477603', '-1.3740612', '0.45055446', '-0.000325132', '0.23634079'];0
35(0.0, 0.23502056599432367, 0.18805);68,['1.8493892', '-0.646098', '-1.3759428', '0.44957218', '-0.00029116718', '0.27852014'];0
36(-0.009999999999999995, 0.23502056599432367, 0.18805);70,['1.8913704', '-0.6479851', '-1.3739793', '0.45077077', '0.0011993455', '0.32097137'];0
37(-0.020000000000000004, 0.23502056599432367, 0.18805);72,['1.9333583', '-0.65325665', '-1.3655273', '0.44860494', '-0.0007641612', '0.3621598'];0
38(-0.03, 0.23502056599432367, 0.18805);74,['1.9741985', '-0.66237414', '-1.3495848', '0.44211525', '-0.0009831454', '0.40357566'];0
39(-0.039999999999999994, 0.23502056599432367, 0.18805);76,['2.0135596', '-0.67569786', '-1.3246804', '0.42930532', '0.0015706328', '0.44202253'];0
40(0.05, 0.22502056599432366, 0.18805);78,['1.636512', '-0.60721374', '-1.4445372', '0.48060647', '-0.0010529476', '0.066251166'];0
41(0.04, 0.22502056599432366, 0.18805);80,['1.6814295', '-0.5910898', '-1.4732076', '0.49314672', '0.0004647185', '0.110631615'];0
42(0.030000000000000002, 0.22502056599432366, 0.18805);82,['1.7269884', '-0.57817256', '-1.496107', '0.5037313', '-0.00037039033', '0.15660352'];0
43(0.020000000000000004, 0.22502056599432366, 0.18805);84,['1.7724012', '-0.5690112', '-1.5109986', '0.5086299', '-0.0006945489', '0.2018307'];0
44(0.010000000000000002, 0.22502056599432366, 0.18805);86,['1.8175039', '-0.56357783', '-1.5206467', '0.51310045', '-0.00064686645', '0.24628322'];0
45(0.0, 0.22502056599432366, 0.18805);88,['1.8620592', '-0.56186193', '-1.5223143', '0.51175696', '4.7544374e-05', '0.2911914'];0
46(-0.009999999999999995, 0.22502056599432366, 0.18805);90,['1.9059322', '-0.56379396', '-1.520206', '0.5126199', '0.0012395658', '0.33554673'];0
47(-0.020000000000000004, 0.22502056599432366, 0.18805);92,['1.9495869', '-0.56912845', '-1.5133666', '0.5134545', '-0.00018797796', '0.37840596'];0
48(-0.03, 0.22502056599432366, 0.18805);94,['1.9920882', '-0.5782114', '-1.4965826', '0.50468713', '-0.0005018689', '0.42178282'];0
49(-0.039999999999999994, 0.22502056599432366, 0.18805);96,['2.0332816', '-0.59115785', '-1.473564', '0.49371767', '0.00044768967', '0.4623843'];0
50(0.05, 0.21502056599432368, 0.18805);98,['1.6394274', '-0.5267201', '-1.5820299', '0.5375067', '-0.00015377683', '0.06944566'];0
51(0.04, 0.21502056599432368, 0.18805);100,['1.6867291', '-0.51032376', '-1.6098573', '0.54881924', '0.00036050763', '0.11525176'];0
52(0.030000000000000002, 0.21502056599432368, 0.18805);102,['1.7344403', '-0.49730226', '-1.6313148', '0.5571197', '-0.00017645725', '0.16386136'];0
53(0.020000000000000004, 0.21502056599432368, 0.18805);104,['1.7820172', '-0.48802775', '-1.647315', '0.5645631', '-0.0003480521', '0.21148881'];0
54(0.010000000000000002, 0.21502056599432368, 0.18805);106,['1.8293059', '-0.48238117', '-1.6555877', '0.5662409', '-0.00032060454', '0.2583624'];0
