2024-07-24 14:43:31.380,26,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.382,27,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.385,28,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.387,29,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.390,30,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.392,31,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.394,32,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.398,33,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.400,34,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.402,35,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.405,36,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.406,37,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.409,38,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.412,39,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.414,40,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00035 -0.00002,0.00000 0.16499 0.00000,359.95400 0.00034 90.00013,0.00000 0.27498 -0.00006,359.95410 -0.00533 -0.00005,0.00000 0.27498 -0.00006,0.06553 179.99480 90.00024,0.00000 0.40097 -0.00024,0.06552 179.99430 0.00003,0.00000 0.40099 -0.00024,0.06554 179.99430 90.00021,0.00000 0.45699 -0.00031,0.06554 179.99430 0.00002
2024-07-24 14:43:31.417,41,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
2024-07-24 14:43:31.420,42,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00039 -0.00002,0.00000 0.16499 0.00000,359.94980 0.00038 90.00013,0.00000 0.27498 -0.00012,359.94990 359.99420 -0.00003,0.00000 0.27498 -0.00012,0.07153 179.99430 90.00024,0.00000 0.40097 -0.00024,0.07152 179.99380 0.00003,0.00000 0.40099 -0.00024,0.07155 179.99380 90.00021,0.00000 0.45699 -0.00031,0.07154 179.99380 0.00002
