2024-07-24 14:42:36.585,22,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.967723E-06 0.0002427852 -1.959343E-05,0 0.1649933 0,359.9645 0.0002303989 90.00014,0 0.2749786 -6.103516E-05,359.9645 -0.004172118 -2.778717E-05,0 0.2749786 -6.103516E-05,0.05064064 179.996 90.00022,0 0.4009705 -0.0001831055,0.05063403 179.9956 2.599294E-05,0 0.4009857 -0.0001831055,0.05064836 179.9956 90.00021,0 0.4569855 -0.0002441406,0.05064439 179.9956 -4.743892E-06
2024-07-24 14:42:36.587,23,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.967723E-06 0.0002427852 -1.959343E-05,0 0.1649933 0,359.9645 0.0002303989 90.00014,0 0.2749786 -6.103516E-05,359.9645 -0.004172118 -2.778717E-05,0 0.2749786 -6.103516E-05,0.05064064 179.996 90.00022,0 0.4009705 -0.0001831055,0.05063403 179.9956 2.599294E-05,0 0.4009857 -0.0001831055,0.05064836 179.9956 90.00021,0 0.4569855 -0.0002441406,0.05064439 179.9956 -4.743892E-06
2024-07-24 14:42:36.591,24,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.261227E-06 0.0003008318 -2.338872E-05,0 0.1649933 0,359.9589 0.0002876334 90.00013,0 0.2749786 -6.103516E-05,359.959 -0.004788942 -4.114407E-05,0 0.2749786 -6.103516E-05,0.05856554 179.9953 90.00026,0 0.4009705 -0.0001831055,0.05855899 179.9949 2.964138E-05,0 0.4009857 -0.0001831055,0.05857549 179.9949 90.00022,0 0.4569855 -0.0002441406,0.05857243 179.9949 1.598003E-05
2024-07-24 14:42:36.594,25,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.261227E-06 0.0003008318 -2.338872E-05,0 0.1649933 0,359.9589 0.0002876334 90.00013,0 0.2749786 -6.103516E-05,359.959 -0.004788942 -4.114407E-05,0 0.2749786 -6.103516E-05,0.05856554 179.9953 90.00026,0 0.4009705 -0.0001831055,0.05855899 179.9949 2.964138E-05,0 0.4009857 -0.0001831055,0.05857549 179.9949 90.00022,0 0.4569855 -0.0002441406,0.05857243 179.9949 1.598003E-05
2024-07-24 14:42:36.596,26,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.261227E-06 0.0003008318 -2.338872E-05,0 0.1649933 0,359.9589 0.0002876334 90.00013,0 0.2749786 -6.103516E-05,359.959 -0.004788942 -4.114407E-05,0 0.2749786 -6.103516E-05,0.05856554 179.9953 90.00026,0 0.4009705 -0.0001831055,0.05855899 179.9949 2.964138E-05,0 0.4009857 -0.0001831055,0.05857549 179.9949 90.00022,0 0.4569855 -0.0002441406,0.05857243 179.9949 1.598003E-05
2024-07-24 14:42:36.599,27,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.261227E-06 0.0003008318 -2.338872E-05,0 0.1649933 0,359.9589 0.0002876334 90.00013,0 0.2749786 -6.103516E-05,359.959 -0.004788942 -4.114407E-05,0 0.2749786 -6.103516E-05,0.05856554 179.9953 90.00026,0 0.4009705 -0.0001831055,0.05855899 179.9949 2.964138E-05,0 0.4009857 -0.0001831055,0.05857549 179.9949 90.00022,0 0.4569855 -0.0002441406,0.05857243 179.9949 1.598003E-05
2024-07-24 14:42:36.602,28,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.261227E-06 0.0003008318 -2.338872E-05,0 0.1649933 0,359.9589 0.0002876334 90.00013,0 0.2749786 -6.103516E-05,359.959 -0.004788942 -4.114407E-05,0 0.2749786 -6.103516E-05,0.05856554 179.9953 90.00026,0 0.4009705 -0.0001831055,0.05855899 179.9949 2.964138E-05,0 0.4009857 -0.0001831055,0.05857549 179.9949 90.00022,0 0.4569855 -0.0002441406,0.05857243 179.9949 1.598003E-05
2024-07-24 14:42:36.604,29,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.261227E-06 0.0003008318 -2.338872E-05,0 0.1649933 0,359.9589 0.0002876334 90.00013,0 0.2749786 -6.103516E-05,359.959 -0.004788942 -4.114407E-05,0 0.2749786 -6.103516E-05,0.05856554 179.9953 90.00026,0 0.4009705 -0.0001831055,0.05855899 179.9949 2.964138E-05,0 0.4009857 -0.0001831055,0.05857549 179.9949 90.00022,0 0.4569855 -0.0002441406,0.05857243 179.9949 1.598003E-05
2024-07-24 14:42:36.606,30,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.261227E-06 0.0003008318 -2.338872E-05,0 0.1649933 0,359.9589 0.0002876334 90.00013,0 0.2749786 -6.103516E-05,359.959 -0.004788942 -4.114407E-05,0 0.2749786 -6.103516E-05,0.05856554 179.9953 90.00026,0 0.4009705 -0.0001831055,0.05855899 179.9949 2.964138E-05,0 0.4009857 -0.0001831055,0.05857549 179.9949 90.00022,0 0.4569855 -0.0002441406,0.05857243 179.9949 1.598003E-05
2024-07-24 14:42:36.610,31,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.041116E-06 0.0003508509 -2.068066E-05,0 0.1649933 0,359.954 0.0003376109 90.00013,0 0.2749786 -6.103516E-05,359.9541 -0.005330643 -4.800013E-05,0 0.2749786 -6.103516E-05,0.06552996 179.9948 90.00024,0 0.4009705 -0.0002441406,0.06552354 179.9943 3.361769E-05,0 0.4009857 -0.0002441406,0.0655418 179.9943 90.00021,0 0.4569855 -0.0003051758,0.06553808 179.9943 1.995604E-05
2024-07-24 14:42:36.612,32,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.041116E-06 0.0003508509 -2.068066E-05,0 0.1649933 0,359.954 0.0003376109 90.00013,0 0.2749786 -6.103516E-05,359.9541 -0.005330643 -4.800013E-05,0 0.2749786 -6.103516E-05,0.06552996 179.9948 90.00024,0 0.4009705 -0.0002441406,0.06552354 179.9943 3.361769E-05,0 0.4009857 -0.0002441406,0.0655418 179.9943 90.00021,0 0.4569855 -0.0003051758,0.06553808 179.9943 1.995604E-05
2024-07-24 14:42:36.615,33,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.041116E-06 0.0003508509 -2.068066E-05,0 0.1649933 0,359.954 0.0003376109 90.00013,0 0.2749786 -6.103516E-05,359.9541 -0.005330643 -4.800013E-05,0 0.2749786 -6.103516E-05,0.06552996 179.9948 90.00024,0 0.4009705 -0.0002441406,0.06552354 179.9943 3.361769E-05,0 0.4009857 -0.0002441406,0.0655418 179.9943 90.00021,0 0.4569855 -0.0003051758,0.06553808 179.9943 1.995604E-05
2024-07-24 14:42:36.618,34,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.041116E-06 0.0003508509 -2.068066E-05,0 0.1649933 0,359.954 0.0003376109 90.00013,0 0.2749786 -6.103516E-05,359.9541 -0.005330643 -4.800013E-05,0 0.2749786 -6.103516E-05,0.06552996 179.9948 90.00024,0 0.4009705 -0.0002441406,0.06552354 179.9943 3.361769E-05,0 0.4009857 -0.0002441406,0.0655418 179.9943 90.00021,0 0.4569855 -0.0003051758,0.06553808 179.9943 1.995604E-05
2024-07-24 14:42:36.621,35,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.041116E-06 0.0003508509 -2.068066E-05,0 0.1649933 0,359.954 0.0003376109 90.00013,0 0.2749786 -6.103516E-05,359.9541 -0.005330643 -4.800013E-05,0 0.2749786 -6.103516E-05,0.06552996 179.9948 90.00024,0 0.4009705 -0.0002441406,0.06552354 179.9943 3.361769E-05,0 0.4009857 -0.0002441406,0.0655418 179.9943 90.00021,0 0.4569855 -0.0003051758,0.06553808 179.9943 1.995604E-05
2024-07-24 14:42:36.624,36,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.041116E-06 0.0003508509 -2.068066E-05,0 0.1649933 0,359.954 0.0003376109 90.00013,0 0.2749786 -6.103516E-05,359.9541 -0.005330643 -4.800013E-05,0 0.2749786 -6.103516E-05,0.06552996 179.9948 90.00024,0 0.4009705 -0.0002441406,0.06552354 179.9943 3.361769E-05,0 0.4009857 -0.0002441406,0.0655418 179.9943 90.00021,0 0.4569855 -0.0003051758,0.06553808 179.9943 1.995604E-05
