2024-09-18 13:04:19.937119,21,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.956194,22,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.975264,23,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:19.991319,24,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:20.007366,25,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:20.021421,26,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:20.035969,27,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:20.052031,28,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:20.069700,29,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
2024-09-18 13:04:20.086281,30,0.00000 0.00000 -0.00000,0.00000 -0.00000 0.00000-0.00000 0.00000 0.16500,0.00000 0.00000 0.00000-0.00000 -0.00000 0.16500,-90.00020 -0.00006 0.00000-0.00000 0.00000 0.27500,-0.00001 -0.00006 0.00000-0.00000 0.00000 0.27500,-90.00020 0.00008 179.99986-0.00000 -0.00000 0.40100,0.00000 0.00008 179.99987-0.00000 -0.00000 0.40100,-90.00019 0.00008 179.99987
