2024-09-20 12:22:32.012034,31,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.47960 -0.00006,0.00000 0.16500 0.00000,359.91860 314.47960 90.00008,0.00011 0.27500 -0.00011,359.91860 315.35780 -0.00136,0.00011 0.27500 -0.00011,0.13790 135.35790 90.00156,0.00033 0.40100 -0.00032,0.13789 135.58330 0.00192,0.00033 0.40100 -0.00032,0.14521 135.58330 90.00214,0.00043 0.45700 -0.00042,0.14521 135.58330 0.00195,0.00243 0.29147 0.09982,323.19140 305.66650 109.38080,-0.00015 0.04559 0.00003,3.45172 5.53445 90.16689
2024-09-20 12:22:32.018120,32,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.47960 -0.00006,0.00000 0.16500 0.00000,359.91860 314.47960 90.00008,0.00011 0.27500 -0.00011,359.91860 315.35780 -0.00136,0.00011 0.27500 -0.00011,0.13790 135.35790 90.00156,0.00033 0.40100 -0.00032,0.13789 135.58330 0.00192,0.00033 0.40100 -0.00032,0.14521 135.58330 90.00214,0.00043 0.45700 -0.00042,0.14521 135.58330 0.00195,0.00247 0.29149 0.09982,323.11720 305.70730 109.40520,-0.00013 0.04560 0.00002,3.44483 5.52857 90.16638
2024-09-20 12:22:32.020131,33,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.47960 -0.00006,0.00000 0.16500 0.00000,359.91860 314.47960 90.00008,0.00011 0.27500 -0.00011,359.91860 315.35780 -0.00136,0.00011 0.27500 -0.00011,0.13790 135.35790 90.00156,0.00033 0.40100 -0.00032,0.13789 135.58330 0.00192,0.00033 0.40100 -0.00032,0.14521 135.58330 90.00214,0.00043 0.45700 -0.00042,0.14521 135.58330 0.00195,0.00246 0.29148 0.09983,323.14480 305.66360 109.40780,-0.00005 0.04547 0.00006,3.42443 5.44598 90.16292
2024-09-20 12:22:32.026231,34,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.47960 -0.00006,0.00000 0.16500 0.00000,359.91860 314.47960 90.00008,0.00011 0.27500 -0.00011,359.91860 315.35780 -0.00136,0.00011 0.27500 -0.00011,0.13790 135.35790 90.00156,0.00033 0.40100 -0.00032,0.13789 135.58330 0.00192,0.00033 0.40100 -0.00032,0.14521 135.58330 90.00214,0.00043 0.45700 -0.00042,0.14521 135.58330 0.00195,0.00246 0.29148 0.09983,323.14480 305.66360 109.40780,-0.00005 0.04547 0.00006,3.42443 5.44598 90.16292
2024-09-20 12:22:32.029244,35,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.83660 -0.00007,0.00000 0.16500 0.00000,359.91930 314.83660 90.00008,0.00011 0.27500 -0.00011,359.91930 315.24860 -0.00070,0.00011 0.27500 -0.00011,0.12560 135.24870 90.00089,0.00031 0.40100 -0.00030,0.12560 135.35530 0.00094,0.00031 0.40100 -0.00030,0.12910 135.35530 90.00116,0.00040 0.45700 -0.00039,0.12909 135.35530 0.00095,0.00246 0.29148 0.09983,323.14480 305.66360 109.40780,-0.00005 0.04547 0.00006,3.42443 5.44598 90.16292
2024-09-20 12:22:32.031765,36,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.83660 -0.00007,0.00000 0.16500 0.00000,359.91930 314.83660 90.00008,0.00011 0.27500 -0.00011,359.91930 315.24860 -0.00070,0.00011 0.27500 -0.00011,0.12560 135.24870 90.00089,0.00031 0.40100 -0.00030,0.12560 135.35530 0.00094,0.00031 0.40100 -0.00030,0.12910 135.35530 90.00116,0.00040 0.45700 -0.00039,0.12909 135.35530 0.00095,0.00246 0.29148 0.09983,323.14480 305.66360 109.40780,-0.00005 0.04547 0.00006,3.42443 5.44598 90.16292
2024-09-20 12:22:32.034267,37,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.83660 -0.00007,0.00000 0.16500 0.00000,359.91930 314.83660 90.00008,0.00011 0.27500 -0.00011,359.91930 315.24860 -0.00070,0.00011 0.27500 -0.00011,0.12560 135.24870 90.00089,0.00031 0.40100 -0.00030,0.12560 135.35530 0.00094,0.00031 0.40100 -0.00030,0.12910 135.35530 90.00116,0.00040 0.45700 -0.00039,0.12909 135.35530 0.00095,0.00246 0.29148 0.09983,323.14480 305.66360 109.40780,-0.00005 0.04547 0.00006,3.42443 5.44598 90.16292
2024-09-20 12:22:32.037279,38,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.83660 -0.00007,0.00000 0.16500 0.00000,359.91930 314.83660 90.00008,0.00011 0.27500 -0.00011,359.91930 315.24860 -0.00070,0.00011 0.27500 -0.00011,0.12560 135.24870 90.00089,0.00031 0.40100 -0.00030,0.12560 135.35530 0.00094,0.00031 0.40100 -0.00030,0.12910 135.35530 90.00116,0.00040 0.45700 -0.00039,0.12909 135.35530 0.00095,0.00246 0.29148 0.09983,323.14480 305.66360 109.40780,-0.00005 0.04547 0.00006,3.42443 5.44598 90.16292
2024-09-20 12:22:32.040842,39,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.83660 -0.00007,0.00000 0.16500 0.00000,359.91930 314.83660 90.00008,0.00011 0.27500 -0.00011,359.91930 315.24860 -0.00070,0.00011 0.27500 -0.00011,0.12560 135.24870 90.00089,0.00031 0.40100 -0.00030,0.12560 135.35530 0.00094,0.00031 0.40100 -0.00030,0.12910 135.35530 90.00116,0.00040 0.45700 -0.00039,0.12909 135.35530 0.00095,0.00246 0.29146 0.09982,323.13100 305.63200 109.42840,0.00000 0.04550 -0.00001,3.42327 5.49042 90.16419
2024-09-20 12:22:32.043854,40,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00016 314.83660 -0.00007,0.00000 0.16500 0.00000,359.91930 314.83660 90.00008,0.00011 0.27500 -0.00011,359.91930 315.24860 -0.00070,0.00011 0.27500 -0.00011,0.12560 135.24870 90.00089,0.00031 0.40100 -0.00030,0.12560 135.35530 0.00094,0.00031 0.40100 -0.00030,0.12910 135.35530 90.00116,0.00040 0.45700 -0.00039,0.12909 135.35530 0.00095,0.00249 0.29148 0.09982,323.08330 305.73860 109.41110,0.00004 0.04540 0.00010,3.44879 5.42992 90.16360
