[;2025-10-03 17:05:08.112900;['1.8476522', ' -0.9917138', ' -1.1623974', ' 0.58237165', ' 0.00028018275', ' 0.27735588']
[;2025-10-03 17:05:08.232980;['1.8476522', ' -0.9917137', ' -1.1624', ' 0.58237165', ' 0.00028018275', ' 0.27735588']
[;2025-10-03 17:05:08.372939;['1.8476522', ' -0.9917132', ' -1.1624029', ' 0.58237165', ' 0.00028018275', ' 0.27735588']
[;2025-10-03 17:05:08.492983;['1.8476522', ' -0.9917128', ' -1.1624054', ' 0.58237165', ' 0.00028018275', ' 0.27735588']
[;2025-10-03 17:05:08.606117;['1.8866267', ' -0.9951483', ' -1.1575556', ' 0.58329916', ' -8.334177e-05', ' 0.31573638']
[;2025-10-03 17:05:08.745296;['1.8866267', ' -0.9951336', ' -1.1575464', ' 0.58329916', ' -8.3341765e-05', ' 0.31573638']
[;2025-10-03 17:05:08.872815;['1.8866267', ' -0.9951331', ' -1.1575493', ' 0.58329916', ' -8.3341765e-05', ' 0.31573638']
[;2025-10-03 17:05:08.993221;['1.8866267', ' -0.9951327', ' -1.1575518', ' 0.58329916', ' -8.3341765e-05', ' 0.31573638']
[;2025-10-03 17:05:09.120914;['1.7353967', ' -0.92052406', ' -1.3146867', ' 0.66447407', ' -0.0003807112', ' 0.16418497']
[;2025-10-03 17:05:09.240987;['1.7353967', ' -0.9206056', ' -1.3147506', ' 0.66447407', ' -0.00038071122', ' 0.16418497']
[;2025-10-03 17:05:09.350170;['1.7353967', ' -0.92060477', ' -1.3147539', ' 0.66447407', ' -0.00038071122', ' 0.16418497']
[;2025-10-03 17:05:09.493062;['1.7353967', ' -0.9206038', ' -1.3147577', ' 0.66447407', ' -0.00038071122', ' 0.16418497']
[;2025-10-03 17:05:09.605310;['1.7353967', ' -0.920603', ' -1.314761', ' 0.66447407', ' -0.00038071122', ' 0.16418497']
[;2025-10-03 17:05:09.732293;['1.7771401', ' -0.9147035', ' -1.328851', ' 0.6722613', ' -0.0009887166', ' 0.20576353']
[;2025-10-03 17:05:09.856874;['1.7771401', ' -0.91470265', ' -1.3288543', ' 0.6722613', ' -0.0009887166', ' 0.20576353']
[;2025-10-03 17:05:09.970222;['1.7771401', ' -0.9147018', ' -1.3288577', ' 0.6722613', ' -0.0009887166', ' 0.20576353']
[;2025-10-03 17:05:10.104974;['1.7771401', ' -0.91470087', ' -1.3288615', ' 0.6722613', ' -0.0009887166', ' 0.20576353']
[;2025-10-03 17:05:10.224895;['1.8183936', ' -0.9117849', ' -1.3357391', ' 0.6765926', ' -0.00036099827', ' 0.24739836']
[;2025-10-03 17:05:10.344946;['1.8183936', ' -0.9117849', ' -1.3357425', ' 0.6765926', ' -0.00036099827', ' 0.24739836']
[;2025-10-03 17:05:10.466512;['1.8183936', ' -0.9117849', ' -1.3357463', ' 0.6765926', ' -0.00036099827', ' 0.24739836']
[;2025-10-03 17:05:10.609865;['1.8183936', ' -0.9117849', ' -1.3357501', ' 0.6765926', ' -0.00036099827', ' 0.24739836']
[;2025-10-03 17:05:10.719191;['1.8591956', ' -0.91181403', ' -1.3349923', ' 0.6752209', ' 0.000559666', ' 0.2889134']
[;2025-10-03 17:05:10.856867;['1.8591956', ' -0.9118135', ' -1.3349961', ' 0.6752209', ' 0.000559666', ' 0.2889134']
[;2025-10-03 17:05:10.976881;['1.8591956', ' -0.9118131', ' -1.3349994', ' 0.6752209', ' 0.000559666', ' 0.2889134']
[;2025-10-03 17:05:11.105461;['1.8591956', ' -0.9118126', ' -1.3350033', ' 0.6752209', ' 0.000559666', ' 0.2889134']
[;2025-10-03 17:05:11.229291;['1.8997055', ' -0.9151228', ' -1.3300604', ' 0.6755124', ' 0.00030120052', ' 0.32858413']
[;2025-10-03 17:05:11.357188;['1.8997055', ' -0.9151219', ' -1.3300633', ' 0.6755124', ' 0.00030120052', ' 0.32858413']
[;2025-10-03 17:05:11.468753;['1.8997055', ' -0.9151211', ' -1.3300667', ' 0.6755124', ' 0.00030120052', ' 0.32858413']
[;2025-10-03 17:05:11.609267;['1.8997055', ' -0.9151201', ' -1.3300705', ' 0.6755124', ' 0.00030120052', ' 0.32858413']
[;2025-10-03 17:05:11.721331;['1.7115277', ' -1.4550076', ' -0.2756524', ' 0.16105165', ' 0.0008387858', ' 0.140737']
[;2025-10-03 17:05:11.840984;['1.7115277', ' -1.4549466', ' -0.2756079', ' 0.16105165', ' 0.0008387858', ' 0.140737']
[;2025-10-03 17:05:11.973015;['1.7115277', ' -1.4549428', ' -0.2756072', ' 0.16105165', ' 0.0008387858', ' 0.140737']
