0.0, 0.19502056599432366, 0.09805;(0.0020841437914981505, 0.0014870940887194983, 0.0024457961491966135)
0.010000000000000002, 0.19502056599432366, 0.09805;(0.001591063186136955, 0.0016351982429551049, 0.0024497956216500416)
0.020000000000000004, 0.19502056599432366, 0.09805;(0.001866007666772987, 0.00233254318378337, 0.0024346598051188106)
0.030000000000000002, 0.19502056599432366, 0.09805;(0.0013271926123969227, 0.0030994138057804377, 0.002547928725711468)
0.04, 0.19502056599432366, 0.09805;(0.0019258231373948664, 0.0027544608405148108, 0.0022417938657714465)
0.05, 0.19502056599432366, 0.09805;(0.002183166028337638, 0.002629379028524309, 0.002119809268110978)
-0.039999999999999994, 0.20502056599432367, 0.09805;(-0.002017725177348391, 0.0028115296912754606, 0.002405875149031164)
-0.03, 0.20502056599432367, 0.09805;(0.0013045706431185702, 0.0020847877497123524, 0.0025681641287178675)
-0.020000000000000004, 0.20502056599432367, 0.09805;(0.00123264350220011, 0.0022664982772067355, 0.0030316399519969423)
-0.009999999999999995, 0.20502056599432367, 0.09805;(0.0017612611408119334, 0.0020057801793436913, 0.003166853666044689)
0.0, 0.20502056599432367, 0.09805;(0.0019405309840886682, 0.0021445953850623145, 0.0032266577020732407)
0.010000000000000002, 0.20502056599432367, 0.09805;(0.0017128223446531716, 0.0023491389379512173, 0.0032270396701435666)
0.020000000000000004, 0.20502056599432367, 0.09805;(0.0017591234947298105, 0.002966250969098111, 0.003227494554436175)
0.030000000000000002, 0.20502056599432367, 0.09805;(0.002052627256313895, 0.003151341908598282, 0.002997860537087116)
0.04, 0.20502056599432367, 0.09805;(0.001938235018467828, 0.002380066567257061, 0.0021443972846500875)
0.05, 0.20502056599432367, 0.09805;(0.002064757369284319, 0.0025003686406034342, 0.0023506711239981853)
-0.039999999999999994, 0.21502056599432368, 0.09805;(-0.002835331991269542, 0.003445283058847809, 0.0031181054472979725)
-0.03, 0.21502056599432368, 0.09805;(0.0015584567683869406, 0.0020433492779327045, 0.002836787137180427)
-0.020000000000000004, 0.21502056599432368, 0.09805;(0.001204802351355276, 0.002721258771686025, 0.0037088498466144038)
-0.009999999999999995, 0.21502056599432368, 0.09805;(0.001549531380695468, 0.0024540396801827624, 0.0038986842258923043)
0.0, 0.21502056599432368, 0.09805;(0.0015637047011137256, 0.0028990885437555902, 0.0041640413022129286)
0.010000000000000002, 0.21502056599432368, 0.09805;(0.0014643414275215538, 0.003086631019815378, 0.004162287315918306)
0.020000000000000004, 0.21502056599432368, 0.09805;(0.0013872575102460427, 0.0037351290499300638, 0.00415993593394294)
0.030000000000000002, 0.21502056599432368, 0.09805;(0.001546276412582568, 0.0037568386915568797, 0.003725238069118772)
0.04, 0.21502056599432368, 0.09805;(0.001770239529547843, 0.0032502548081907723, 0.0028672034415992836)
