0,['-4.533579e-12', '1.6633738e-08', '1.2510238e-08', '-1.38312e-13', '3.9489348e-17', '3.3014678e-19'](-0.004936712017667256, 0.2738224753241505, 0.09467755771659962)
60,['1.8633438', '-1.1601726', '-0.6919209', '0.2817641', '-0.0005651135', '0.29236767'](-0.014974382746936382, 0.2739039902320898, 0.09465809128550748)
61,['1.8633438', '-1.1601721', '-0.69192076', '0.2817641', '-0.0005651135', '0.29236767'](-0.014974401672708694, 0.27390401482691273, 0.09465818070172181)
62,['1.8633438', '-1.1601716', '-0.6919206', '0.2817641', '-0.0005651135', '0.29236767'](-0.014974412918994534, 0.27390412459839153, 0.0946583595431763)
63,['1.8633438', '-1.1601712', '-0.6919204', '0.2817641', '-0.0005651135', '0.29236767'](-0.014974455742676265, 0.27390411593570557, 0.09465841915661048)
64,['1.7225', '-1.0474244', '-0.9257178', '0.40403372', '0.00036638248', '0.15048544'](-0.014974463229411978, 0.2739042894686758, 0.09465862780336592)
65,['1.7225', '-1.0475218', '-0.9257911', '0.40403372', '0.0003663827', '0.15048544'](0.02495098489441816, 0.2640255522607147, 0.09491467944553442)
66,['1.7225', '-1.0475279', '-0.92579556', '0.40403372', '0.0003663827', '0.15048544'](0.024953983063743378, 0.26400601735600066, 0.09487782611363595)
67,['1.7225', '-1.047528', '-0.92579573', '0.40403372', '0.0003663827', '0.15048544'](0.024954160631392823, 0.2640048101211858, 0.09487558991168775)
68,['1.7225', '-1.0475284', '-0.9257956', '0.40403372', '0.0003663827', '0.15048544'](0.024954170345743043, 0.26400476610083035, 0.09487550047965396)
69,['1.7225', '-1.047528', '-0.9257955', '0.40403372', '0.0003663827', '0.15048544'](0.024954198452009777, 0.264004782650748, 0.09487547065823937)
70,['1.7225', '-1.0475277', '-0.9257954', '0.40403372', '0.0003663827', '0.15048544'](0.024954160631392823, 0.2640048101211858, 0.09487558991168775)
71,['1.7610294', '-1.0400689', '-0.94096357', '0.40920952', '-0.00047802055', '0.19050758'](0.024954160631392823, 0.2640048101211858, 0.09487558991168775)
72,['1.7610294', '-1.0400882', '-0.94097817', '0.40920952', '-0.00047802055', '0.19050758'](0.015040351958600325, 0.26381927027818497, 0.09472190731881461)
73,['1.7610294', '-1.0400894', '-0.9409791', '0.40920952', '-0.00047802055', '0.19050758'](0.01504105925919078, 0.26381538399639587, 0.09471457823779782)
74,['1.7610294', '-1.0400894', '-0.940979', '0.40920952', '-0.00047802055', '0.19050758'](0.015041117512094377, 0.2638151728579278, 0.09471416113838281)
75,['1.7610294', '-1.040089', '-0.9409787', '0.40920952', '-0.00047802055', '0.19050758'](0.015041117512094377, 0.2638151728579278, 0.09471416113838281)
76,['1.7610294', '-1.0400887', '-0.9409786', '0.40920952', '-0.00047802055', '0.19050758'](0.015041109996592611, 0.2638152561656334, 0.0947143249920315)
77,['1.7610294', '-1.0400883', '-0.94097847', '0.40920952', '-0.00047802055', '0.19050758'](0.015041133249632927, 0.2638153085139794, 0.0947144143768618)
78,['1.7992649', '-1.0359946', '-0.9505922', '0.41550818', '-0.0007352327', '0.22793522'](0.01504105925919078, 0.26381538399639587, 0.09471457823779782)
79,['1.7992649', '-1.0359954', '-0.9505927', '0.41550818', '-0.0007352327', '0.22793522'](0.005049946258161418, 0.2638568393443991, 0.09467534943615641)
80,['1.7992649', '-1.0359956', '-0.9505926', '0.41550818', '-0.0007352327', '0.22793522'](0.005049958506890499, 0.26385664489422705, 0.09467511104074908)
81,['1.7992649', '-1.0359952', '-0.95059234', '0.41550818', '-0.0007352327', '0.22793522'](0.005049952688987641, 0.2638566272981765, 0.09467506633652016)
82,['1.7992649', '-1.0359949', '-0.95059216', '0.41550818', '-0.0007352327', '0.22793522'](0.005049948190935547, 0.2638567617579366, 0.09467518553805936)
83,['1.7992649', '-1.0359945', '-0.950592', '0.41550818', '-0.0007352327', '0.22793522'](0.005049924357252488, 0.26385678749162056, 0.0946752898375235)
84,['1.7992649', '-1.0359942', '-0.9505918', '0.41550818', '-0.0007352327', '0.22793522'](0.005049908720563842, 0.2638568401582374, 0.09467540902715019)
85,['1.8369527', '-1.0361967', '-0.94999033', '0.41489378', '0.00032204716', '0.26538268'](0.005049921765713765, 0.2638568893633508, 0.09467554313980855)
86,['1.8369527', '-1.0361974', '-0.9499907', '0.41489378', '0.00032204716', '0.26538268'](-0.005012629808760107, 0.26383203531616817, 0.09467554980798985)
87,['1.8369527', '-1.0361975', '-0.9499906', '0.41489378', '0.00032204716', '0.26538268'](-0.005012606966659212, 0.2638319500927042, 0.09467525183053166)
88,['1.8369527', '-1.0361972', '-0.94999033', '0.41489378', '0.00032204716', '0.26538268'](-0.0050126411449612765, 0.2638319862711371, 0.09467535612008995)
89,['1.8369527', '-1.0361968', '-0.94999015', '0.41489378', '0.00032204716', '0.26538268'](-0.005012629385509215, 0.2638319693326112, 0.09467543061893273)
90,['1.8369527', '-1.0361965', '-0.94999', '0.41489378', '0.00032204716', '0.26538268'](-0.005012659653194235, 0.2638320876833726, 0.09467560940005061)
91,['1.8369527', '-1.0361961', '-0.9499898', '0.41489378', '0.00032204716', '0.26538268'](-0.005012687242553796, 0.2638321251361958, 0.09467566900299325)
92,['1.8745366', '-1.0396916', '-0.945133', '0.41594574', '-0.0002704178', '0.30376256'](-0.005012672403627748, 0.26383220913094524, 0.09467584778753597)
93,['1.8745366', '-1.0396781', '-0.94512284', '0.41594574', '-0.0002704178', '0.30376256'](-0.01501798768581374, 0.2639681298098614, 0.0946398669166691)
94,['1.8745366', '-1.039677', '-0.9451221', '0.41594574', '-0.0002704178', '0.30376256'](-0.015018797013672881, 0.2639707395535553, 0.09464496603700433)
95,['1.8745366', '-1.0396769', '-0.945122', '0.41594574', '-0.0002704178', '0.30376256'](-0.015018853413094634, 0.26397094848151353, 0.0946453537068367)
96,['1.8745366', '-1.0396765', '-0.94512194', '0.41594574', '-0.0002704178', '0.30376256'](-0.015018921562703708, 0.26397102763088914, 0.09464541335636821)
97,['1.8745366', '-1.0396762', '-0.9451218', '0.41594574', '-0.0002704178', '0.30376256'](-0.015018946109257667, 0.26397105847993074, 0.09464553262847647)
98,['1.8745366', '-1.0396758', '-0.9451217', '0.41594574', '-0.0002704178', '0.30376256'](-0.015018935729434591, 0.26397109761485754, 0.0946455922517361)
99,['1.7285618', '-0.949921', '-1.1276093', '0.5073071', '0.000663637', '0.15762132'](-0.015018959204556967, 0.263971133692283, 0.09464574133686836)
100,['1.7285618', '-0.95000714', '-1.1276739', '0.5073071', '0.0006636371', '0.15762132'](0.024942579158219354, 0.25394892655261436, 0.09487988824120888)
101,['1.7285618', '-0.9500125', '-1.1276782', '0.5073071', '0.0006636371', '0.15762132'](0.02494542199570209, 0.2539310686603577, 0.094848546252077)
102,['1.7285618', '-0.9500127', '-1.1276784', '0.5073071', '0.0006636371', '0.15762132'](0.02494557466670659, 0.25392993752615345, 0.09484653433681234)
103,['1.7285618', '-0.95001256', '-1.1276785', '0.5073071', '0.0006636371', '0.15762132'](0.02494557521502619, 0.25392985560974535, 0.09484647472366221)
104,['1.7285618', '-0.9500125', '-1.127679', '0.5073071', '0.0006636371', '0.15762132'](0.02494557521502619, 0.25392985560974535, 0.09484647472366221)
105,['1.7285618', '-0.95001245', '-1.1276795', '0.5073071', '0.0006636371', '0.15762132'](0.024945630616788436, 0.25392977677178785, 0.09484637038616875)
106,['1.7686841', '-0.943216', '-1.1417996', '0.51287675', '-0.00031339182', '0.19776581'](0.024945632743779828, 0.2539296641524338, 0.09484631077975167)
107,['1.7686841', '-0.94323105', '-1.1418107', '0.51287675', '-0.00031339182', '0.19776581'](0.015033480296934977, 0.2537904662060345, 0.09471337409066875)
108,['1.7686841', '-0.94323194', '-1.1418113', '0.51287675', '-0.00031339182', '0.19776581'](0.015034085837395635, 0.2537873796962095, 0.09470796725874804)
109,['1.7686841', '-0.9432321', '-1.1418111', '0.51287675', '-0.00031339182', '0.19776581'](0.015034125764414015, 0.253787240888816, 0.09470771405215757)
