251;2025-10-03 17:51:24.853452;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
254;2025-10-03 17:51:24.957341;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
255;2025-10-03 17:51:25.156085;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
257;2025-10-03 17:51:25.209909;None
258;2025-10-03 17:51:25.372299;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
259;2025-10-03 17:51:25.436199;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
260;2025-10-03 17:51:25.494997;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
261;2025-10-03 17:51:25.540388;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
262;2025-10-03 17:51:25.636418;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
263;2025-10-03 17:51:25.728981;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
264;2025-10-03 17:51:25.795936;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
265;2025-10-03 17:51:25.856377;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
266;2025-10-03 17:51:25.913853;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
267;2025-10-03 17:51:26.006240;None
268;2025-10-03 17:51:26.162900;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
269;2025-10-03 17:51:26.216198;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
270;2025-10-03 17:51:26.310145;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
271;2025-10-03 17:51:26.407327;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
272;2025-10-03 17:51:26.458891;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
273;2025-10-03 17:51:26.552512;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
274;2025-10-03 17:51:26.755287;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
276;2025-10-03 17:51:26.801148;None
277;2025-10-03 17:51:26.954419;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
278;2025-10-03 17:51:27.010317;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
279;2025-10-03 17:51:27.193001;106.34, -67.85, -40.16, 16.17, 0.26, 16.43
281;2025-10-03 17:51:27.255785;None
282;2025-10-03 17:51:27.786054;99.4, -61.78, -52.82, 22.67, 0.26, 9.75
290;2025-10-03 17:51:27.840054;99.4, -61.78, -52.82, 22.67, 0.26, 9.75
291;2025-10-03 17:51:27.895698;99.4, -61.78, -52.82, 22.67, 0.26, 9.75
292;2025-10-03 17:51:28.087856;99.4, -61.78, -52.82, 22.67, 0.26, 9.66
294;2025-10-03 17:51:28.130692;99.4, -61.78, -52.82, 22.67, 0.26, 9.66
295;2025-10-03 17:51:28.347855;99.4, -61.78, -52.82, 22.67, 0.26, 9.66
297;2025-10-03 17:51:28.541608;99.4, -61.78, -52.82, 22.67, 0.26, 9.66
299;2025-10-03 17:51:28.600250;99.4, -61.78, -52.82, 22.67, 0.26, 9.66
300;2025-10-03 17:51:28.652740;99.4, -61.78, -52.82, 22.67, 0.26, 9.58
301;2025-10-03 17:51:28.707296;99.4, -61.78, -52.82, 22.67, 0.26, 9.58
302;2025-10-03 17:51:28.754557;99.4, -61.78, -52.82, 22.67, 0.26, 9.58
303;2025-10-03 17:51:28.810490;99.4, -61.78, -52.82, 22.67, 0.26, 9.58
304;2025-10-03 17:51:28.998107;99.4, -61.78, -52.82, 22.67, 0.26, 9.58
306;2025-10-03 17:51:29.056468;99.4, -61.78, -52.82, 22.67, 0.26, 9.49
307;2025-10-03 17:51:29.120047;99.4, -61.78, -52.82, 22.67, 0.26, 9.49
308;2025-10-03 17:51:29.176608;99.4, -61.78, -52.82, 22.67, 0.26, 9.49
309;2025-10-03 17:51:29.235618;99.4, -61.78, -52.82, 22.67, 0.26, 9.49
310;2025-10-03 17:51:29.297630;99.4, -61.78, -52.82, 22.67, 0.26, 9.49
311;2025-10-03 17:51:29.490813;99.4, -61.78, -52.82, 22.67, 0.26, 9.49
313;2025-10-03 17:51:29.550202;99.4, -61.78, -52.82, 22.67, 0.26, 9.49
314;2025-10-03 17:51:29.852429;100.37, -61.43, -53.78, 23.29, 0.26, 10.28
321;2025-10-03 17:51:29.908157;100.37, -61.43, -53.78, 23.29, 0.26, 10.28
322;2025-10-03 17:51:30.077053;100.37, -61.43, -53.78, 23.29, 0.26, 10.28
324;2025-10-03 17:51:30.144925;100.37, -61.43, -53.78, 23.29, 0.26, 10.28
325;2025-10-03 17:51:30.203809;100.37, -61.43, -53.78, 23.29, 0.26, 10.28
326;2025-10-03 17:51:30.295261;100.37, -61.43, -53.78, 23.29, 0.26, 10.28
327;2025-10-03 17:51:30.493229;100.37, -61.43, -53.78, 23.29, 0.26, 10.28
329;2025-10-03 17:51:30.546114;None
330;2025-10-03 17:51:30.696918;None
331;2025-10-03 17:51:31.026357;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
333;2025-10-03 17:51:31.086352;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
334;2025-10-03 17:51:31.181962;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
335;2025-10-03 17:51:31.248195;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
336;2025-10-03 17:51:31.298961;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
337;2025-10-03 17:51:31.505329;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
339;2025-10-03 17:51:31.689623;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
341;2025-10-03 17:51:31.738578;100.37, -61.43, -53.78, 23.29, 0.26, 10.37
342;2025-10-03 17:51:31.789952;None
343;2025-10-03 17:51:31.943046;None
344;2025-10-03 17:51:32.228820;102.74, -61.25, -54.31, 23.64, 0.26, 12.65
348;2025-10-03 17:51:32.285904;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
349;2025-10-03 17:51:32.340690;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
350;2025-10-03 17:51:32.543696;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
352;2025-10-03 17:51:32.589852;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
353;2025-10-03 17:51:32.640417;None
354;2025-10-03 17:51:32.793882;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
355;2025-10-03 17:51:32.858899;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
356;2025-10-03 17:51:32.923108;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
357;2025-10-03 17:51:32.973655;None
358;2025-10-03 17:51:33.125702;None
359;2025-10-03 17:51:33.287543;102.74, -61.25, -54.31, 23.73, 0.26, 12.65
360;2025-10-03 17:51:33.350417;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
361;2025-10-03 17:51:33.394204;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
362;2025-10-03 17:51:33.598418;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
364;2025-10-03 17:51:33.811582;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
366;2025-10-03 17:51:34.014360;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
368;2025-10-03 17:51:34.062421;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
369;2025-10-03 17:51:34.157931;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
370;2025-10-03 17:51:34.345401;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
372;2025-10-03 17:51:34.407974;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
373;2025-10-03 17:51:34.470382;102.74, -61.25, -54.31, 23.73, 0.26, 12.74
374;2025-10-03 17:51:34.521675;None
375;2025-10-03 17:51:34.789500;104.94, -61.25, -54.31, 23.73, 0.26, 14.85
377;2025-10-03 17:51:34.983275;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
379;2025-10-03 17:51:35.038914;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
380;2025-10-03 17:51:35.126951;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
381;2025-10-03 17:51:35.220517;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
382;2025-10-03 17:51:35.278578;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
383;2025-10-03 17:51:35.374227;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
384;2025-10-03 17:51:35.582210;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
386;2025-10-03 17:51:35.797502;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
388;2025-10-03 17:51:36.010096;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
390;2025-10-03 17:51:36.226869;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
392;2025-10-03 17:51:36.431274;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
394;2025-10-03 17:51:36.642237;105.02, -61.25, -54.31, 23.73, 0.26, 14.85
396;2025-10-03 17:51:36.859364;105.02, -61.25, -54.31, 23.73, 0.26, 14.94
398;2025-10-03 17:51:36.905167;105.02, -61.25, -54.31, 23.73, 0.26, 14.94
399;2025-10-03 17:51:36.960737;None
400;2025-10-03 17:51:37.111595;None
401;2025-10-03 17:51:37.379712;105.02, -61.25, -54.31, 23.73, 0.26, 14.94
403;2025-10-03 17:51:37.468285;105.02, -61.25, -54.31, 23.73, 0.26, 14.94
404;2025-10-03 17:51:37.532963;None
405;2025-10-03 17:51:37.695544;105.02, -61.25, -54.31, 23.73, 0.26, 14.94
406;2025-10-03 17:51:37.958456;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
412;2025-10-03 17:51:38.009513;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
413;2025-10-03 17:51:38.214036;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
415;2025-10-03 17:51:38.258251;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
416;2025-10-03 17:51:38.351074;None
417;2025-10-03 17:51:38.636685;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
419;2025-10-03 17:51:38.745566;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
420;2025-10-03 17:51:38.801920;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
421;2025-10-03 17:51:38.894238;None
422;2025-10-03 17:51:39.052882;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
423;2025-10-03 17:51:39.115818;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
424;2025-10-03 17:51:39.169257;None
425;2025-10-03 17:51:39.331845;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
426;2025-10-03 17:51:39.542314;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
428;2025-10-03 17:51:39.647265;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
429;2025-10-03 17:51:39.853316;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
431;2025-10-03 17:51:40.067324;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
433;2025-10-03 17:51:40.121394;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
434;2025-10-03 17:51:40.171999;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
435;2025-10-03 17:51:40.373608;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
437;2025-10-03 17:51:40.474935;107.13, -61.25, -54.31, 23.73, 0.26, 17.13
438;2025-10-03 17:51:41.013542;99.58, -56.07, -64.42, 28.82, 0.26, 10.1
448;2025-10-03 17:51:41.106988;99.58, -56.07, -64.42, 28.82, 0.26, 10.01
449;2025-10-03 17:51:41.158877;99.58, -56.07, -64.42, 28.82, 0.26, 10.01
450;2025-10-03 17:51:41.202729;99.58, -56.07, -64.42, 28.82, 0.26, 10.01
451;2025-10-03 17:51:41.411057;99.58, -56.07, -64.42, 28.82, 0.26, 10.01
453;2025-10-03 17:51:41.628261;99.58, -56.07, -64.42, 28.82, 0.26, 9.93
455;2025-10-03 17:51:41.828285;99.58, -56.07, -64.42, 28.82, 0.26, 9.93
457;2025-10-03 17:51:42.036243;99.58, -56.07, -64.42, 28.82, 0.26, 9.84
459;2025-10-03 17:51:42.091956;None
460;2025-10-03 17:51:42.267528;99.58, -56.07, -64.42, 28.82, 0.26, 9.84
461;2025-10-03 17:51:42.466991;99.58, -56.07, -64.42, 28.82, 0.26, 9.84
463;2025-10-03 17:51:42.521405;99.58, -56.07, -64.42, 28.82, 0.26, 9.84
464;2025-10-03 17:51:42.584398;99.58, -56.07, -64.42, 28.82, 0.26, 9.75
465;2025-10-03 17:51:42.774716;99.58, -56.07, -64.42, 28.82, 0.26, 9.75
467;2025-10-03 17:51:42.831883;99.58, -56.07, -64.42, 28.82, 0.26, 9.75
468;2025-10-03 17:51:43.113087;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
474;2025-10-03 17:51:43.161035;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
475;2025-10-03 17:51:43.227907;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
476;2025-10-03 17:51:43.331623;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
477;2025-10-03 17:51:43.544930;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
479;2025-10-03 17:51:43.745763;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
481;2025-10-03 17:51:43.807579;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
482;2025-10-03 17:51:43.874969;100.98, -55.63, -65.3, 29.17, 0.26, 10.72
483;2025-10-03 17:51:43.981578;100.98, -55.63, -65.39, 29.17, 0.26, 10.72
484;2025-10-03 17:51:44.040108;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
485;2025-10-03 17:51:44.104124;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
486;2025-10-03 17:51:44.158134;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
487;2025-10-03 17:51:44.249807;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
488;2025-10-03 17:51:44.353333;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
489;2025-10-03 17:51:44.458947;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
490;2025-10-03 17:51:44.668979;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
492;2025-10-03 17:51:44.727998;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
493;2025-10-03 17:51:44.777874;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
494;2025-10-03 17:51:44.829717;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
495;2025-10-03 17:51:44.873834;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
496;2025-10-03 17:51:44.919907;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
497;2025-10-03 17:51:44.965331;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
498;2025-10-03 17:51:45.021722;100.98, -55.63, -65.39, 29.17, 0.26, 10.81
499;2025-10-03 17:51:45.308910;103.27, -55.63, -65.65, 29.44, 0.26, 13.18
